Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
2000131,ETALDYNE JARDIN,SCOTTS FRANCE S.A.S.,Alkyl phenol oxyethylene (Alkyl phenol oxyethylene) 200 g/L,L/hL
9600204,FUNDATION,SOPRA,Alkyl polysaccharides (Alkyl polysaccharides) 400 g/L,L/hL
9900310,MAXIMA,MONSANTO SAS,Polyoxyethylene amine (Polyoxyethylene amine) 732 g/L,L/hL
9500382,HERBIDOWN,TOTAL FLUIDES,Huile minerale paraffinique (Huile minerale paraffinique) 725 g/L,L/ha
8900697,HERBIFIX,B.H.S,Huile minerale paraffinique (Huile minerale paraffinique) 946 g/L,L/ha
2090181,HERBIFIX EV,B.H.S,Huile minerale paraffinique (Huile minerale paraffinique) 946 g/L,L/ha
2000390,ENGRAIS DESHERBANT MU,SCOTTS FRANCE S.A.S.,"2,4-D sel d'amine (2,4-D) 8 g/kg | dicamba acide (Dicamba) 1.2 g/kg",g/mÂ²
2130125,ERADIKAMOUSSE F+,COMPO FRANCE SAS,sulfate de fer (Iron sulphate) 238 g/kg,kg/ha
8920639,ENGRAIS GAZON ANTI MOUSSE,AMIFLOR SAS,sulfate de fer (Iron sulphate) 20 %,kg/ha
2020001,ENGRAIS REPULSIF TAUPE DELETREX,CAUSSADE SAS,Ã©thanol (Ethanol) 2.993 % | Alcool ethylique (Alcool ethylique) 4.276 % | Cresol (Cresol) 0.6 %,kg/mÂ²
2040080,ENGRAIS GAZON DESHERBANT ANTI MOUSSE MASSO,COMERCIAL QUIMICA MASSO SA,"2,4-D sel d'amine (2,4-D) 0.7 % | dicamba (Dicamba) 0.1 % | sulfate de fer (Iron sulphate) 50 %",kg/ha
2130126,ERADIKAMOUSSE F,COMPO FRANCE SAS,sulfate de fer (Iron sulphate) 238 g/kg,kg/ha
2120117,TRADIASPYR PRO,TRADI AGRI,"2,4-D ester ethylique (2,4-D) 58 g/L | triclopyr (Triclopyr) 64.7 g/L",L/ha
2150477,PENBOTEC 400SC,JANSSEN PMP,pyrimÃ©thanil (Pyrimethanil) 400 g/L,L/hL
2160695,AZAKA,CHEMINOVA A/S,azoxystrobine (Azoxystrobin) 250 g/L,L/ha
9300186,HORIZON ARBO,BAYER SAS,tÃ©buconazole (Tebuconazole) 250 g/kg,kg/ha
2160842,CITATION,CEREXAGRI S.A.S.,Metribuzin (Metribuzin) 700 g/kg,kg/ha
2160397,VELUM PRIME,BAYER SAS,fluopyram (Fluopyram) 400 g/L,L/ha
2160230,XEDATHANE-HN,XEDA INTERNATIONAL S.A.,pyrimÃ©thanil (Pyrimethanil) 157.6 g/L,mL/t
2140055,BARCLAY GALLUP RTU,BARCLAY CHEMICALS LTD,glyphosate sel d'isopropylamine (Glyphosate) 9.6 g/L,mL/mÂ²
2140160,BALLAD,DUPONT SOLUTIONS (FRANCE) S.A.S.,Bacillus pumilus QST 2808 (Bacillus pumilus QST 2808) 14.35 g/L,L/ha
