Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
9600516,RHODAX EXPRESS,PHILAGRO,fosÃ©tyl (Fosetyl) 35 % | mancozÃ¨be (Mancozeb) 35 %,kg/ha
9600120,RHODIASAN FLASH,CHEMINOVA AGRO FRANCE SAS,thirame (Thiram) 80 %,kg/ha
7400755,RHODOFIX,NUFARM S.A,acide 1-naphtylacÃ©tique (1-Naphtylacetic acid) 1 %,
9300241,ROUNDUP 3 PLUS,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 170 g/L,L/ha
2120020,ROUNDUP AT MAX,MONSANTO SAS,glyphosate (Glyphosate) 480 g/L,mL/mÂ²
2090012,ROUNDUP AT PLUS,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9800036,ROUNDUP EXTRA 360,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2010262,ROUNDUP FLASH,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 450 g/L,L/ha
2120018,ROUNDUP GT MAX,MONSANTO SAS,glyphosate (Glyphosate) 480 g/L,mL/mÂ²
2020448,ROUNDUP GT PLUS,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 450 g/L,L/ha
2120034,ROUNDUP INNOV,MONSANTO SAS,glyphosate (Glyphosate) 480 g/L,L/ha
2120036,ROUNDUP INNOVERT DT,MONSANTO SAS,glyphosate (Glyphosate) 480 g/L,L/ha
9300065,ROUNDUP PRO 2,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2100024,ROUNDUP READY,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,
2030276,ROUNDUP STAR 240,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 240 g/L,mL/mÂ²
9900396,ROUNDUP STAR 360,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
2120019,ROUNDUP STAR PLUS,MONSANTO SAS,glyphosate (Glyphosate) 480 g/L,mL/mÂ²
9000691,BADINEB,LODI,pyrÃ©thrines (Pyrethrins) 20 g/L | pipÃ©ronyl butoxide (Piperonyl butoxyde) 160 g/L,L/q
2020294,ROUNDUP TURBOVERT,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 450 g/L,L/ha
2020339,ROUNDUP TURBOVERT DT,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 450 g/L,L/ha
9700259,ROUNDUP ULTRA,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9200262,ROVRAL AQUA FLO,BASF FRANCE SAS,iprodione (Iprodione) 500 g/L,L/q
2090005,ROVRAL WG,BASF FRANCE SAS,iprodione (Iprodione) 750 g/kg,kg/ha
9200493,EMBLEM,NUFARM S.A,bromoxynil ester octanoÃ¯que (Bromoxynil) 20 %,kg/ha
2110013,EMBLEM FLO,NUFARM S.A,bromoxynil (Bromoxynil) 401.6 g/L,L/ha
8800140,EMBUTONE RL,NUFARM UK LIMITED,"2,4-DB (2,4-DB) 300 g/L",L/ha
9800362,EMERALD STAR,ISAGRO SPA,chlorothalonil (Chlorothalonil) 250 g/L | tÃ©traconazole (Tetraconazole) 62.5 g/L,L/ha
9800091,EMERODE,BAYER SAS,isoxaflutole (Isoxaflutole) 750 g/kg,kg/ha
9000741,EMINENT,ISAGRO SPA,tÃ©traconazole (Tetraconazole) 125 g/L,L/ha
9100372,EMINENT STAR,ISAGRO SPA,chlorothalonil (Chlorothalonil) 250 g/L | tÃ©traconazole (Tetraconazole) 62.5 g/L,L/ha
2100221,ENERVIN,BASF FRANCE SAS,amÃ©toctradine (Ametoctradin) 120 g/kg | mÃ©tirame (Metiram) 440 g/kg,kg/ha
9700332,ORTIVA,SYNGENTA FRANCE SAS,azoxystrobine (Azoxystrobin) 250 g/L,L/ha
9500432,ORYTIS,CHEMINOVA A/S,acrinathrine (Acrinathrin) 75 g/L,L/ha
2010261,OSCAR WG,PHILAGRO,flutolanil (Flutolanil) 60 g/kg | mancozÃ¨be (Mancozeb) 600 g/kg,kg/t
2090043,OURAGAN EV,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 151.4 g/L,
2090044,OURAGAN PJT,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 151.4 g/L,mL/mÂ²
2000046,TORNADO COMBI,ADAMA FRANCE SAS,ethofumesate (Ethofumesate) 150 g/L | mÃ©tamitrone (Metamitron) 350 g/L,L/ha
2100056,INPUT,BAYER SAS,prothioconazole (Prothioconazole) 160 g/L | spiroxamine (Spiroxamine) 300 g/L,L/ha
2080105,TOUCHDOWN FORET,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 360 g/L,L/ha
2000202,TOUCHDOWN SYSTEME 4,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 360 g/L,L/ha
2060115,PRIORI XTRA,SYNGENTA FRANCE SAS,cyproconazole (Cyproconazole) 80 g/L | azoxystrobine (Azoxystrobin) 200 g/L,L/ha
9800219,PRM 12 RP,BAYER SAS,ethephon (Ethephon) 11.3 %,
9200328,PROCHLORUS,SOCIETE  FINANCIERE DE PONTARLIER,prochloraz (Prochloraz) 450 g/L,L/ha
9500011,PROCHLOSUN,SOCIETE  FINANCIERE DE PONTARLIER,prochloraz (Prochloraz) 450 g/L,L/ha
9500541,PROCHLOTENA,SFP EUROPE SA,prochloraz (Prochloraz) 450 g/L,L/ha
2130033,LIFE SCIENTIFIC CLOPYRALID,LIFE SCIENTIFIC LTD,clopyralid (Clopyralid) 100 g/L,L/ha
2110011,METRIC,BELCHIM CROP PROTECTION NV/SA,clomazone (Clomazone) 60 g/L | mÃ©tribuzine (Metribuzin) 233 g/L,L/ha
2060169,METRIX 70 WG,SYNGENTA FRANCE SAS,mÃ©tribuzine (Metribuzin) 70 %,kg/ha
2100106,METRO 20,MITSUI AGRISCIENCE INTERNATIONAL,Metsulfuron-methyl (Metsulfuron-methyl) 200 g/kg,g/ha
2100237,MEXATOR,SOCIETE  FINANCIERE DE PONTARLIER,Metsulfuron-methyl (Metsulfuron-methyl) 200 g/kg,g/ha
2080061,MICENE PRO,ISAGRO SPA,bÃ©nalaxyl-M (Benalaxyl-M) 40 g/kg | mancozÃ¨be (Mancozeb) 650 g/kg,kg/ha
2100145,MILEWAY,DOW AGROSCIENCES SAS,aminopyralide (Aminopyralid) 30 g/L | fluroxypyr (Fluroxypyr) 100 g/L,L/hL
9300194,MILFAL,SYNGENTA FRANCE SAS,chlorothalonil (Chlorothalonil) 375 g/L | cyproconazole (Cyproconazole) 40 g/L,L/ha
2040110,MILLENIUM MAX,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 68 g/kg | thifensulfuron (Thifensulfuron) 682 g/kg,kg/ha
9900092,MIMIC LV,NISSO CHEMICAL EUROPE GMBH,tÃ©bufenozide (Tebufenozide) 240 g/L,L/ha
2080059,MISCANTI,CHEMINOVA A/S,iodosulfuron-mÃ©thyl-sodium (Iodosulfuron) 10 g/kg | propoxycarbazone sodium (Propoxycarbazone) 168 g/kg | mÃ©fenpyr (Mefenpyr) 80 g/kg,g/ha
9500013,PROCHLO-CHOC,SFP EUROPE SA,prochloraz (Prochloraz) 450 g/L,L/ha
8300092,IMPACT 125 FL,CHEMINOVA A/S,flutriafol (Flutriafol) 125 g/L,L/ha
2090176,RESOLVA 24H SPRAY,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 8.3 g/L | diquat (dibromure) (Diquat (dibromide)) 0.3 g/L,mL/mÂ²
9900042,IMPERIAL,NUFARM S.A,bromoxynil (Bromoxynil) 20 %,kg/ha
9900350,IMPRIMO,BAYER SAS,imidaclopride (Imidacloprid) 400 g/L | tÃ©fluthrine (Tefluthrin) 17.8 g/L,L/unitÃ©
2120063,INFINITO J,BAYER SAS,fluopicolide (Fluopicolide) 62.5 g/L | propamocarbe HCl (Propamocarb) 625 g/L,mL/mÂ²
9800344,INFLUX XL,SYNGENTA FRANCE SAS,fludioxonil (Fludioxonil) 25 g/L | mÃ©talaxyl-M (Metalaxyl-M) 9.7 g/L,L/q
9900387,OXALIS,ARYSTA LIFESCIENCE SAS,Glyphosate (Glyphosate) 360 g/L,L/ha
2010138,OXALIS JARDIN,ARYSTA LIFESCIENCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,mL/mÂ²
2010147,OXALIS PJT,ARYSTA LIFESCIENCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9900133,MILORD,BAYER SAS,spiroxamine (Spiroxamine) 400 g/L | tÃ©buconazole (Tebuconazole) 100 g/L,L/ha
9800396,INSECTES D'HIVER,COMPAGNIE DES PRODUITS POUR LE JARDIN,huile de paraffine (Paraffin oils) 800 g/L,mL/L
2030050,TOUCHDOWN SYSTEME 4 JARDIN,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 360 g/L,mL/10 mÂ²
2110020,INNOVATE,CHEMINOVA A/S,Nicosulfuron (Nicosulfuron) 240 g/L,L/ha
2140017,LIFE SCIENTIFIC CHLOROTHALONIL 500,LIFE SCIENTIFIC LTD,Chlorothalonil (Chlorothalonil) 500 g/L,L/ha
2160757,RUBRIC XL,CHEMINOVA A/S,Ã©poxiconazole (Epoxiconazole) 100 g/L | azoxystrobine (Azoxystrobin) 200 g/L,L/ha
2140175,LIFE SCIENTIFIC METCONAZOLE 90,LIFE SCIENTIFIC LTD,mÃ©tconazole (Metconazole) 90 g/L,L/ha
2140044,ISONET L PLUS,TERRA FRUCTI S.A.S.,"(E,Z)-7,9-dodÃ©cadien-1-yl acÃ©tate (Straight Chain Lepidopteran Pheromones) 585 g/kg | (Z)-9-dodÃ©cen-1-yl acÃ©tate (Straight Chain Lepidopteran Pheromones) 66 g/kg",diffuseurs/ha
9300504,OVIPHYT,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,huile de paraffine (Paraffin oils) 817 g/L,L/hL
9300322,TORNADO SC,ADAMA FRANCE SAS,mÃ©tamitrone (Metamitron) 700 g/L,L/ha
2161080,MEVALONE,SUMI AGRO FRANCE,eugÃ©nol (Eugenol) 33 g/L | gÃ©raniol (Geranol) 66 g/L | Thymol (Thymol) 66 g/L,L/ha
6000233,MICROSOUFREOR SPECIAL,DELPECH,soufre micronise (Sulphur) 80 %,kg/ha
9800245,MICROTHIOL SPECIAL DISPERSS,UPL France SAS,soufre micronise (Sulphur) 80 %,kg/ha
2110120,REPULSIF LAPINS LIQUIDE C,SBM DEVELOPPEMENT,poivre (Pepper) 30 g/L,L/mÂ²
2080039,EMBUTONE RL 400,NUFARM S.A.S.,"2,4-DB (2,4-DB) 400 g/L",L/ha
2070170,RESOLVA SPRAY,SYNGENTA FRANCE SAS,glyphosate (sel de diammonium) (Glyphosate) 8.39 g/L,L/10 mÂ²
2110135,ROUNDUP COURS ALLEES TERRASSES,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 162 g/L,mL/mÂ²
2150969,FERRIMAX,DE SANGOSSE, (Ferric phosphate) 10 g/kg,g/mÂ²
2160818,FLOSUL,SULPHUR MILLS LIMITED,Sulphur (Sulphur) 800 g/L,L/ha
2120116,ROUNDUP 6 H AT,MONSANTO SAS,glyphosate (Glyphosate) 7.2 g/L | acide pÃ©largonique (Pelargonic Acid) 20.4 g/L,mL/mÂ²
2130175,MADEX PRO,ANDERMATT BIOCONTROL GmbH,Cydia pomonella granulosis virus (Cydia pomonella granulosis virus) 30000000000000 OB/L,L/ha
2140056,PROFILUX,BELCHIM CROP PROTECTION NV/SA,cymoxanil (Cymoxanil) 45 g/kg | mancozÃ¨be (Mancozeb) 680 g/kg,kg/ha
9900123,ISOMATE-C,SUMI AGRO France,"1-Dodecanol (Straight Chain Lepidopteran Pheromones) 63 mg/diffuseur | (E,E)-8,10-dodÃ©cadien-1-ol (Straight Chain Lepidopteran Pheromones) 122 mg/diffuseur | tetradÃ©can-1-ol (Straight Chain Lepidopteran Pheromones) 15 mg/diffuseur",diffuseurs/ha
2010100,INSECTES ET MALADIES CPJ,COMPAGNIE DES PRODUITS POUR LE JARDIN,acides gras / acides gras sel de potassium (Fatty acids) 9.75 g/L | soufre (Sulphur) 5.88 g/L,
2010525,METRIPHAR 70 WG,ARYSTA LIFESCIENCE BENELUX SPRL,mÃ©tribuzine (Metribuzin) 70 %,kg/ha
8000144,RHODAX,PHILAGRO,mancozÃ¨be (Mancozeb) 26 % | fosÃ©tyl (Fosetyl) 440 %,kg/ha
2090136,INFINITO,BAYER SAS,fluopicolide (Fluopicolide) 62.5 g/L | propamocarbe HCl (Propamocarb) 625 g/L,L/ha
2160527,ABP-617,ALPHA BIOPESTICIDES LIMITED,acide gras (Fatty acids) 479.8 g/L,L/ha
2150417,DIPEL DF JARDIN,SUMITOMO CHEMICAL AGRO EUROPE SAS,Bacillus thuringiensis subsp. kurstaki (Bacillus thuringiensis subsp. kurstaki) 1170 10^10 UFC/kg,g/10 mÂ²
2090188,HOCKEY PRO 360,MONSANTO SAS,glyphosate (Glyphosate) 360 g/L,L/ha
2010592,TRADER PRO,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,Sulfate de magnesium (Sulfate de magnesium) 104 g/L | alcane sulfonate de sodium C13-17 (Alkane sulfonate de sodium C13-17) 71.75 g/L,L/hL
9400149,ZONEBLEU,NUFARM S.A,acid blue 9 (acid blue 9) 500 g/L,L/hL
9000064,GAZOMIX,DREYFUS HERSCHTEL,Alcools alcoxyles (Alcools alcoxyles) 98 %,
8500170,GENAMIN T 200 BM,MONSANTO SAS,Polyoxyethylene amine (Polyoxyethylene amine) 732 g/L,L/ha
9600143,GENERA EC,TOTAL FLUIDES,Huile minerale paraffinique (Huile minerale paraffinique) 790 g/L,L/ha
9600107,ELTON,DE SANGOSSE,Lecithine de soja (Lecithine de soja) 355 g/L,L/hL
9700231,ELVIS,DE SANGOSSE,Lecithine de soja (Lecithine de soja) 355 g/L,L/hL
8500316,EMULSOL,PHYTEUROP,Ester de polyethylene glycol d'alkylphenol (Ester de polyethylene glycol d'alkylphenol) 285 g/L,L/hL
9900317,REPERE H,B.H.S,acid blue 9 (acid blue 9) 100 %,kg/hL
9200149,REPERE LIQUIDE,B.H.S,acid blue 9 (acid blue 9) 9500 g/L,L/hL
2150377,ROUNDUP JARDIN PLUS,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 294 g/L,mL/10 mÂ²
2150379,ROUNDUP SUPRA MAX,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 147 g/L,mL/10 mÂ²
2150380,ROUNDUP AT SUPRA,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 147 g/L,mL/10 mÂ²
2150381,ROUNDUP AT 3PLUS,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 208 g/L,mL/10 mÂ²
2150382,ROUNDUP 3PLUS MAX,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 208 g/L,mL/10 mÂ²
2150383,ROUNDUP ULTRA MAX,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 441 g/L,L/mÂ²
2150279,RIZA,CHEMINOVA A/S,tÃ©buconazole (Tebuconazole) 200 g/L,L/ha
2010512,SCALA JARDIN,BASF FRANCE SAS,pyrimÃ©thanil (Pyrimethanil) 400 g/L,L/ha
2150990,MET52 OD,NOVOZYMES France,Metarhizium anisopliae var. anisopliae (Metarhizium anisopliae var. anisopliae BIPESCO 5/F52) 2000000000000 UFC/L,L/ha
2160383,FLORGIB TABLET,FINE AGROCHEMICALS LTD,acide gibberellique (Gibberellic acid) 183.7 g/kg,tablettes/L
2160706,LITTOVIR,ANDERMATT BIOCONTROL GmbH,Spodoptera littoralis nucleopolyhedrovirus (Spodoptera littoralis nucleopolyhedrovirus) 520.05 g/L,mL/ha
9700396,SARI TF,BASF AGRO SAS,pyrimÃ©thanil (Pyrimethanil) 400 g/L,L/ha
2110103,PRIMA STAR,CHEMINOVA (DANEMARK),tribenuron (Tribenuron) 75 %,kg/ha
2090010,KAKI,ADAMA FRANCE SAS,phenmÃ©diphame (Phenmedipham) 320 g/L,L/ha
2160375,ELEGIA GOLD,DOW AGROSCIENCES SAS,oryzalin (Oryzalin) 480 g/L | pÃ©noxsulame (Penoxsulam) 1.4 g/L,L/ha
2080129,KARATHANE 3D,DOW AGROSCIENCES SAS,mÃ©ptyldinocap (Meptyldinocap) 350 g/L,L/ha
2010640,FIXOR 1%,AMVAC NETHERLANDS B.V.,acide 1-naphtylacÃ©tique (1-Naphtylacetic acid) 1 %,
2120069,FLOCTER,BAYER SAS (ENVIRONMENTAL),Bacillus firmus I-1582 (BACILLUS FIRMUS I-1582) 50 g/kg,kg/ha
2150489,ELIPTONE,SAPEC AGRO SA,chlorotoluron (Chlorotoluron) 500 g/L,L/ha
9800289,SANTHAL,SYNGENTA FRANCE SAS,mÃ©talaxyl-M (Metalaxyl-M) 465.2 g/L,L/ha
2090186,ROXY 800 EC,GLOBACHEM,Prosulfocarb (Prosulfocarb) 800 g/L,L/ha
2090200,INSECTICIDE SPRUZIT AF,NEUDORFF GMBH KG,Huile de colza esterifiee (Huile de colza esterifiee) 8.25 g/L | Pyrethres naturels (Pyrethrins) 0.18 g/L,
2090199,INSECTICIDE SPRUZIT EC,NEUDORFF GMBH KG,Pyrethres naturels (Pyrethrins) 4.59 g/L | Huile de colza esterifiee (Huile de colza esterifiee) 825.3 g/L,mL/mÂ²
2020021,IODUS 2 CEREALES,LABORATOIRES GOEMAR,laminarine (Laminarin) 37 g/L,L/ha
2140193,RAIDMOUSS JARDIN,SBM DEVELOPPEMENT,sulfate de fer (Iron sulphate) 187 g/L,mL/mÂ²
9500595,SCANNER,DOW AGROSCIENCES SAS,"2,4-D ester amylique (2,4-D) 150 g/L | clopyralid (Clopyralid) 35 g/L | MCPA ester amylique (MCPA) 175 g/L",L/ha
2120199,ITCAN SL 270,KREGLINGER EUROPE N.V.,Maleic hydrazide (Maleic hydrazide) 270 g/L,L/ha
9400485,SARMAN F,PHYTEUROP,cymoxanil (Cymoxanil) 40 g/L | folpel (Folpet) 334 g/L,L/ha
9400483,SARMAN M,TRADI AGRI,cymoxanil (Cymoxanil) 6 % | mancozÃ¨be (Mancozeb) 70 %,kg/ha
2100146,SARMAN M WG,PHYTEUROP,cymoxanil (Cymoxanil) 48 g/kg | mancozÃ¨be (Mancozeb) 560 g/kg,kg/ha
9400484,SARMAN MC,OXON ITALIA,sulfate de cuivre (Copper compounds) 18 % | cymoxanil (Cymoxanil) 3.43 % | mancozÃ¨be (Mancozeb) 11.5 %,kg/ha
2100147,SARMAN MC WG,PHYTEUROP,composÃ©s du cuivre (Copper compounds) 157.5 g/kg | cymoxanil (Cymoxanil) 30 g/kg | mancozÃ¨be (Mancozeb) 100 g/kg,kg/ha
2090095,SAROUAL,BAYER SAS,ethofumesate (Ethofumesate) 190 g/L | phenmÃ©diphame (Phenmedipham) 200 g/L,L/ha
9500205,SAXO,BAYER SAS,bromoxynil ester octanoÃ¯que (Bromoxynil) 200 g/kg,kg/ha
9200159,SCALA,BASF FRANCE SAS,pyrimÃ©thanil (Pyrimethanil) 400 g/L,L/ha
2150378,ROUNDUP JARDIN AT,MONSANTO SAS,glyphosate sel de potassium (Glyphosate) 294 g/L,mL/10 mÂ²
2140086,CHIKARA DUO,ISK BIOSCIENCES EUROPE S.A.,flazasulfuron (Flazasulfuron) 6.7 g/kg | glyphosate (Glyphosate) 288 g/kg,kg/ha
2110154,PRAIXONE M,SYNGENTA FRANCE SAS,dicamba sel de sodium et de potassium (Dicamba) 30 g/L | MCPA (MCPA) 340 g/L,L/ha
8700177,MILCOZEBE,INDOFIL INDUSTRIES (Netherlands) B.V.,mancozÃ¨be (Mancozeb) 80 %,kg/ha
9700123,GULLIVER,DUPONT SOLUTIONS (FRANCE) S.A.S.,azimsulfuron (Azimsulfuron) 50 %,kg/ha
9200073,SAFARI,DUPONT SOLUTIONS (FRANCE) S.A.S.,triflusulfuron (Triflusulfuron) 50 %,kg/ha
2110174,PRAIXONE M JARDIN,SYNGENTA FRANCE SAS,MCPA (MCPA) 340 g/L | dicamba sel de sodium et de potassium (Dicamba) 30 g/L,mL/mÂ²
2150066,PROPER FLO,GLOBACHEM NV,propyzamide (Propyzamide) 400 g/L,L/ha
2080010,OVIPRON PLUS,CEREXAGRI S.A.S.,huile de paraffine (Paraffin oils) 800 g/L,L/hL
2010206,PREFERAL,BIOBEST BELGIUM N.V.,"Paecilomyces fumosoroseus souche Apopka 97, PFR 97 (Isaria fumosorosea Apopka strain 97) 200 g/kg",kg/ha
2120033,ISOMATE-JARDIN,SUMI AGRO FRANCE,"1-Dodecanol (Straight Chain Lepidopteran Pheromones) 63 mg/diffuseur | (E,E)-8,10-dodÃ©cadien-1-ol (Straight Chain Lepidopteran Pheromones) 122 mg/diffuseur | tetradÃ©can-1-ol (Straight Chain Lepidopteran Pheromones) 15 mg/diffuseur",diffuseurs/100 mÂ² 
2160374,ELAN,DOW AGROSCIENCES SAS,oryzalin (Oryzalin) 480 g/L | pÃ©noxsulame (Penoxsulam) 1.4 g/L,L/ha
2130141,KEEPCLEAN,CHEMINOVA AGRO FRANCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2060113,FLORAMITE 240 SC,ARYSTA LIFESCIENCE GREAT BRITAIN LTD,bifÃ©nazate (Bifenazate) 240 g/L,L/ha
2080112,ROYALFLO ORANGE,ARYSTA LIFESCIENCE GREAT BRITAIN LTD,thirame (Thiram) 480 g/L,L/q
2120058,ROYALTAC,ARYSTA LIFESCIENCE GREAT BRITAIN LTD,1-Decanol (1-Decanol) 679 g/L,L/ha
2140189,DIFEND,GLOBACHEM NV,difÃ©noconazole (Difenoconazole) 30 g/L,L/q
2100143,FLEURUS,ARYSTA LIFESCIENCE BENELUX SPRL,pyrimÃ©thanil (Pyrimethanil) 400 g/L,L/hL
2150010,PAKET 250 EC,ARYSTA LIFESCIENCE BENELUX SPRL,trinexapac-Ã©thyl (Trinexapac) 250 g/L,L/ha
8400477,INSEGAR,SYNGENTA FRANCE SAS,fÃ©noxycarb (Fenoxycarb) 25 %,kg/hL
9200380,IOTA P,PHILAGRO,flutolanil (Flutolanil) 6 %,kg/t
9500002,IPIGLYCE,NOVAFITO SPA,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9700520,IPIGLYCE IND,NOVAFITO SPA,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,L/ha
9700521,IPIGLYCE PJT,NOVAFITO SPA,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,mL/10 mÂ²
2080144,IRAZU,CHEMINOVA A/S,amidosulfuron (Amidosulfuron) 60 g/kg | iodosulfuron-mÃ©thyl-sodium (Iodosulfuron) 8.3 g/kg | propoxycarbazone sodium (Propoxycarbazone) 140 g/kg | mÃ©fenpyr (Mefenpyr) 67 g/kg,g/ha
9900251,ISARD,BASF FRANCE SAS,dimÃ©thÃ©namide-p (Dimethenamid-p) 720 g/L,L/ha
2090183,ITCAN,KREGLINGER EUROPE N.V.,hydrazide malÃ©Ã¯que (Maleic hydrazide) 600 g/L,kg/ha
2100192,IVORY WG,ARYSTA LIFESCIENCE SAS,mancozÃ¨be (Mancozeb) 750 g/kg,kg/ha
2130040,ANTI LISERON CFPI NUFARM,NUFARM S.A,"2,4-D sel de dimethylamine (2,4-D) 100 g/L",mL/mÂ²
2120150,ARENT J,BAYER SAS,diflufÃ©nicanil (Diflufenican) 18 g/L | flufÃ©nacet (Flufenacet) 60 g/L | glyphosate sel d'isopropylamine (Glyphosate) 180 g/L,mL/mÂ²
2000294,ROXAM COMBI,GOWAN FRANCE,mancozÃ¨be (Mancozeb) 68.9 % | zoxamide (Zoxamide) 6.15 %,kg/ha
2120093,RUBRIC,CHEMINOVA A/S,Ã©poxiconazole (Epoxiconazole) 125 g/L,L/ha
2090021,RUNNER,DOW AGROSCIENCES SAS,mÃ©thoxyfenozide (Methoxyfenozide) 240 g/L,L/ha
2120052,RUNWAY,DOW AGROSCIENCES SAS,aminopyralide (Aminopyralid) 30 g/L | triclopyr (Triclopyr) 240 g/L,L/ha
9900262,PALMA,ISK BIOSCIENCES EUROPE S.A.,flazasulfuron (Flazasulfuron) 25 %,kg/ha
2080104,PALMIR,PHYTEUROP,bÃ©nalaxyl-M (Benalaxyl-M) 37.5 g/kg | folpel (Folpet) 480 g/kg,kg/ha
9700463,PANTHEOS,BASF FRANCE SAS,dimÃ©thomorphe (Dimethomorph) 11.3 % | folpel (Folpet) 60 %,kg/ha
8900563,PARNASS C,GOWAN FRANCE,triallate (Tri-allate) 480 g/L,L/ha
8700506,PASTA CAFFARO,ISAGRO SPA,cuivre de l'oxychlorure de cuivre (Copper compounds) 357.5 g/L,L/ha
9900147,PATROL 500,BAYER SAS,ethofumesate (Ethofumesate) 500 g/L,L/ha
2090048,GRO STOP BASIS,CERTIS EUROPE BV,chlorprophame (Chlorpropham) 300 g/L,L/t
2130222,GRISU,OXON ITALIA,iprodione (Iprodione) 500 g/L,L/ha
2090179,GRO-STOP FOG,CERTIS EUROPE BV,chlorprophame (Chlorpropham) 300 g/L,L/t
2100123,GRO-STOP INNOVATOR,CERTIS EUROPE BV,chlorprophame (Chlorpropham) 300 g/L,mL/t
2080117,PEAK,SYNGENTA FRANCE SAS,prosulfuron (Prosulfuron) 750 g/kg,kg/ha
2100208,GRO-STOP READY,CERTIS EUROPE BV,chlorprophame (Chlorpropham) 120 g/L,mL
2120091,PELICAN DELTA,CHEMINOVA A/S,diflufÃ©nicanil (Diflufenican) 600 g/kg | metsulfuron-mÃ©thyle (Metsulfuron) 60 g/kg,g/ha
2050143,PELOUS'NET 2C,SCOTTS FRANCE S.A.S.,clopyralid (Clopyralid) 5.34 g/L | fluroxypyr (Fluroxypyr) 10.68 g/L | MCPA (MCPA) 53.4 g/L,mL/mÂ²
2050144,PELOUS'NET PAL,SCOTTS FRANCE S.A.S.,clopyralid (Clopyralid) 0.16 g/L | fluroxypyr (Fluroxypyr) 0.32 g/L | MCPA (MCPA) 1.6 g/L,mL/mÂ²
2030147,OZYS,GOWAN FRANCE,mancozÃ¨be (Mancozeb) 66.7 % | zoxamide (Zoxamide) 8.33 %,kg/ha
2090090,FLAGSHIP PRO,SYNGENTA FRANCE SAS,Thiamethoxam (Thiamethoxam) 10 g/L,L/hL
2090009,FLIGHT,BASF FRANCE SAS,pendimÃ©thaline (Pendimethalin) 330 g/L | picolinafÃ¨ne (Picolinafen) 7.5 g/L,L/ha
2090149,FLORDIMEX CBW,CBW - CHEMIE GMBH BITTERFELD-WOLFEN,ethephon (Ethephon) 480 g/L,L/ha
2100002,PREMIS 25 FS,BASF FRANCE SAS,triticonazole (Triticonazole) 25 g/L,L/q
2090127,PREV-AM,VIVAGRO,huile d'orange douce (Orange sweet oil) 60 g/L,L/ha
2070107,PREVICUR ENERGY,BAYER SAS,fosÃ©tyl (Fosetyl) 310 g/L | propamocarbe (Propamocarb) 530 g/L,L/ha
9700552,PRIDE ULTRA,GOWAN FRANCE,fÃ©nazaquine (Fenazaquin) 200 g/L,L/hL
2090129,PRIMO MAXX,SYNGENTA FRANCE SAS,trinexapac-Ã©thyl (Trinexapac) 121 g/L,L/ha
9800277,PRIMUS,DOW AGROSCIENCES SAS,florasulame (Florasulam) 50 g/L,L/ha
2110114,PRINCIPAL,DUPONT SOLUTIONS (FRANCE) S.A.S.,nicosulfuron (Nicosulfuron) 429 g/kg | rimsulfuron (Rimsulfuron) 107 g/kg,kg/ha
